id,name
1,NGワード
2,まんこ
3,ま○こ
4,ま●こ
5,ま◎こ
6,マソコ
7,マンコ
8,チ○
9,マ○
10,チ●
11,マ●
12,チ◎
13,マ◎
14,おめこ
15,オメコ
16,ヴァギナ
17,ウ゛ァキ゛ナ
18,グロマン
19,ク゛ロマン
20,バギナ
21,ハ゛キナ
22,膣
23,クリトリス
24,チンポ
25,チンホ゜
26,ちんぽ
27,ペニス
28,ヘ゜ニス
29,きんたま
30,金玉
31,肉棒
32,勃起
33,精子
34,ザーメン
35,サ゛ーメン
36,ＳＥＸ
37,Ｓ○Ｘ
38,Ｓ●Ｘ
39,Ｓ◎Ｘ
40,パイズリ
41,ハ゜イス゛リ
42,淫乱
43,自慰
44,オナニー
45,マスターベーション
46,マスターヘ゛ーション
47,せんずり
48,センズリ
49,センス゛リ
50,手淫
51,手マン
52,手コキ
53,足コキ
54,姦
55,性器
56,乱交
57,中出し
58,スカトロ
59,セクロス
60,生ハメ
61,セフレ
62,初ハメ
63,初挿
64,フィスト
65,ファック
66,ハメ撮り
67,３Ｐ
68,マン汁
69,中出
70,ベロ射
71,ヘ゛ロ射
72,イマラチオ
73,いまらちお
74,精飲
75,飲尿
76,マン拓
77,デリヘル
78,テ゛リヘル
79,デリバリーヘルス
80,テリハ゛リーヘルス
81,ソープランド
82,ソーフ゜ラント゛
83,ホテヘル
84,ホテルヘルス
85,ファッションヘルス
86,ブルセラ
87,フ゛ルセラ
88,ぶるせら
89,イメクラ
90,いめくら
91,イメージクラブ
92,イメーシ゛クラフ゛
93,イメージ倶楽部
94,イメーシ゛倶楽部
95,性感
96,ピンサロ
97,ヒ゜ンサロ
98,ピンクサロン
99,ヒ゜ンサロン
100,オナクラ
101,おなくら
102,ダッチワイフ
103,タ゛ッチワイフ
104,だっちわいふ
105,南極１号
106,ペニバン
107,ヘ゜ニハ゛ン
108,ピンクローター
109,ヒ゜ンクローター
110,張形
111,ディルド
112,テ゛ィルト゛
113,貞操帯
114,避妊
115,花びら回転
116,スワッピング
117,スワッヒ゜ンク゛
118,近親相姦
119,ペドフィリア
120,ヘ゜ト゛フィリア
121,スカトロ
122,ＢＤＳＭ
123,羞恥プレイ
124,羞恥フ゜レイ
125,射精
126,コンドーム
127,コント゛ーム
128,陰毛
129,包茎
130,童貞
131,オッパイ
132,オッハ゜イ
133,オパーイ
134,オハ゜ーイ
135,オッハoイ
136,おっぱい
137,おぱーい
138,おっはoい
139,娼婦
140,女給
141,トルコ嬢
142,トルコ風呂
143,男娼
144,遊女
145,淫乱
146,ビッチ
147,ヒ゛ッチ
148,びっち
149,惨事女
150,肉便器
151,汚ギャル
152,汚キ゛ャル
153,淫売
154,ｂｉｔｃｈ
155,乞食
156,ルンペン
157,ルンヘ゜ン
158,ガチャ目
159,カ゛チャ目
160,身体障害
161,知恵遅れ
162,精神病
163,精神障害
164,白痴
165,身障
166,露助
167,穢多
168,非人
169,賎民
170,奇形児
171,支那
172,毛唐
173,チョッパリ
174,チョッハ゜リ
175,紅毛人
176,半島人
177,隠亡屋
178,汚穢屋
179,バッタ屋
180,ハ゛ッタ屋
181,株屋
182,部落
183,南鮮
184,北鮮
185,鮮人
186,三国人
187,痴呆
188,アイヌ人
189,アイヌ犬
190,池沼
191,アメ公
192,大麻
193,麻薬
194,レイプ
195,レイフ゜
196,強姦
197,売春
198,援助交際
199,援交
200,下衆
201,ＦＵＣＫ
202,Ｆｕｃｋ
203,ｆｕｃｋ
204,死ね
205,殺す
206,殺そ
207,殺さ
208,殺せ
209,殺し
210,溺死
211,絞殺
212,屠殺
213,しょんべん
214,ションベン
215,ションヘ゛ン
216,小便
217,大便
218,０９０
219,０８０
220,＠
221,ｔｔｐ
222,：／／
223,．ｈｔｍｌ
224,．ｓｈｔｍｌ
225,．ｐｈｐ
226,ｃｏ．ｊｐ
227,ｎｅ．ｊｐ
228,．ｃｏｍ
229,．ｂｉｚ
230,．ｊｐ
231,．ｎｅｔ
232,．ｍｅ
233,．ｃｃ
234,．ｏｒｇ
235,．ｍｏｂｉ
236,．ｉｎｆｏ
237,．ｉｎ
238,．ｃｏ
239,．ｂｚ
240,．ｗｓ
241,．ｎｕ
242,．ｔｖ
243,ｆｃ２
244,ｐｃｆｒｅｅ
245,ｄｏｃｏｍｏ．ｎｅ．ｊｐ
246,ｅｚｗｅｂ．ｎｅ．ｊｐ
247,ｓｏｆｔｂａｎｋ．ｎｅ．ｊｐ
248,ｉ．ｓｏｆｔｂａｎｋ．ｊｐ
249,ｄ．ｖｏｄａｆｏｎｅ．ｎｅ．ｊｐ
250,ｈ．ｖｏｄａｆｏｎｅ．ｎｅ．ｊｐ
251,ｔ．ｖｏｄａｆｏｎｅ．ｎｅ．ｊｐ
252,ｃ．ｖｏｄａｆｏｎｅ．ｎｅ．ｊｐ
253,ｋ．ｖｏｄａｆｏｎｅ．ｎｅ．ｊｐ
254,ｒ．ｖｏｄａｆｏｎｅ．ｎｅ．ｊｐ
255,ｎ．ｖｏｄａｆｏｎｅ．ｎｅ．ｊｐ
256,ｓ．ｖｏｄａｆｏｎｅ．ｎｅ．ｊｐ
257,ｑ．ｖｏｄａｆｏｎｅ．ｎｅ．ｊｐ
258,ｄｉｓｎｅｙｍｏｂｉｌｅ．ｎｅ．ｊｐ
